id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason,edible,water,energy_kcal,energy_kj,protein,fat,cho,dietary_fiber,cholesterol,ash,vitamin_a,carotene,retinol,thiamin,riboflavin,niacin,vitamin_c,vitamin_e,ca,p,k,na,mg,fe,zn,se,cu,mn,nutrition_source,nutrition_match,quality,category_source,tcm_user,tcm_not_user,effects_json,suitable_groups_json,unsuitable_groups_json,aliases_json,parent_core_ids_json,child_core_ids_json
1,葱,core_raw,1,蔬菜,葱蒜,1,1,verified,3206,核心原生食材,73,92.7,27,112,1.6,0.4,4.9,1.4,0,0.4,70,840,0,0.05,0.06,0.40,21.0,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16,葱（小葱，鲜）,alias,core,v2_strict_rule,,,"[""健脾"",""健脾宽中"",""养生"",""导滞"",""延年益寿"",""开胃"",""月经不调及健脾开胃调理"",""清洁肠胃"",""清热润燥"",""生津止渴"",""瘦身"",""益气养血"",""美容"",""营养丰富"",""补充能量"",""补益脾胃"",""补肾养血"",""贫血"",""降逆止呕""]","[""中年人"",""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""小孩子"",""年轻人"",""幼儿"",""甚至外國人"",""男女老少"",""老人"",""老少兼宜"",""老年人"",""青少年""]",[],"[""/京葱"",""/大葱"",""/小葱"",""/葱"",""一小小块葱"",""一小撮葱花"",""一整根大葱"",""一点点葱"",""一点葱"",""一点葱末"",""七小葱"",""京葱"",""几根小葱"",""几根葱"",""几根香葱"",""几片大葱"",""大葱"",""小葱"",""少量小葱"",""少量葱"",""少量葱丝"",""少量葱末"",""少量香葱"",""扎香葱"",""撮葱花"",""数根小葱"",""数根葱"",""葱"",""葱一根"",""葱丁"",""葱丝"",""葱叶"",""葱少许"",""葱少量"",""葱末"",""葱段"",""葱片"",""葱白"",""葱花"",""葱葱"",""青葱"",""香葱"",""香葱末"",""香葱段"",""香葱碎"",""鲜葱"",""－小葱"",""／葱""]",[],[]
2,蒜,core_raw,2,蔬菜,葱蒜,1,1,verified,3916,核心原生食材,85,66.6,128,536,4.5,0.2,27.6,1.1,0,1.1,3,30,0,0.04,0.06,0.60,7.0,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29,大蒜（白皮，鲜）［蒜头］,alias,core,v2_strict_rule,,,"[""健脾宽中"",""开胃"",""暖胃\\补肾"",""月经不调及健脾开胃调理"",""益气养血"",""营养丰富"",""补肾养血"",""贫血""]","[""中年人"",""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""小孩子"",""年轻人"",""幼儿"",""老人"",""老少兼宜"",""老年人"",""青少年""]",[],"[""/大蒜"",""/独头蒜"",""/蒜"",""一半蒜"",""一大头蒜"",""一小碗蒜片"",""一小碗蒜蓉"",""一整个大蒜"",""一整个大蒜头"",""一整个蒜"",""一整只蒜"",""一整颗大蒜"",""一整颗蒜"",""一点点蒜末"",""三小粒蒜头"",""两半蒜"",""几个蒜"",""几个蒜头"",""几个蒜瓣"",""几片蒜"",""几片蒜头"",""几粒蒜瓣"",""几颗大蒜"",""几颗蒜"",""多多大蒜"",""头蒜"",""少量蒜"",""少量蒜末"",""整个大蒜"",""整个蒜"",""整个蒜头"",""整只大蒜"",""整大蒜"",""整颗蒜"",""独头蒜"",""碗蒜末"",""蒜"",""蒜丁"",""蒜头"",""蒜子"",""蒜末"",""蒜泥"",""蒜片"",""蒜瓣"",""蒜碎"",""蒜米"",""蒜蒜"",""蒜蒜瓣"",""蒜蓉"",""－蒜""]",[],[]
3,姜,core_raw,3,蔬菜,根茎,1,1,verified,3563,核心原生食材,95,87.0,46,194,1.3,0.6,10.3,2.7,0,0.8,14,170,0,0.02,0.03,0.80,4.0,—,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.20,姜（鲜）［黄姜］,alias,core,v2_strict_rule,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。,阴虚内热及邪热亢盛者忌食。,"[""下气消肿"",""健脾"",""健脾宽中"",""养血"",""导滞"",""延年益寿"",""开胃"",""暖胃\\补肾"",""月经不调及健脾开胃调理"",""益气养血"",""益目"",""营养丰富"",""补中益气"",""补充能量"",""补益脾胃"",""补肝"",""补肾养血"",""调理气血"",""贫血"",""降逆止呕""]","[""中年人"",""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""小孩子"",""年轻人"",""幼儿"",""老人"",""老少兼宜"",""老年人"",""青少年""]","[""阴虚火旺者""]","[""/姜"",""/生姜"",""/生姜片"",""一小撮姜"",""一小撮生姜末"",""一点姜"",""一点点姜"",""一点点姜末"",""些许姜"",""仔姜"",""几大块姜"",""几大片姜"",""几片姜"",""几片姜片"",""几片生姜"",""多些姜"",""多些老姜片"",""姜"",""姜丝"",""姜块"",""姜末"",""姜末少量"",""姜片"",""姜碎"",""姜蓉"",""嫩姜"",""子姜"",""少些姜"",""少量姜"",""少量姜丝"",""少量姜末"",""少量生姜"",""数片姜"",""数片生姜"",""点点生姜"",""生姜丝"",""生姜末"",""生姜片"",""生姜碎"",""粒姜"",""老姜"",""老姜片"",""－姜""]",[],[]
4,猪肉,core_raw,4,畜肉,猪,1,1,verified,634,核心原生食材,91,54.9,331,1370,15.1,30.1,0.0,0.0,86,0.8,15,0,15,0.30,0.13,4.10,Tr,0.67,6,121,218,56.8,16,1.3,1.78,7.90,0.12,0.03,猪肉（代表值，fat30g）,alias,core,v2_strict_rule,,,"[""开胃"",""气血双补"",""滋养脏腑"",""滋补保健"",""营养不良"",""营养丰富"",""补中益气"",""补肾养血"",""补虚养身""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老少兼宜"",""青少年""]",[],"[""一小点猪肉"",""几片猪肉"",""少量猪肉"",""少量猪肉糜"",""带皮猪肉"",""猪瘦肉"",""猪肉"",""猪肉丝"",""猪肉末"",""猪肉片"",""猪肉碎"",""猪肉糜"",""猪肉馅"",""瘦肉""]",[],"[""10"",""32"",""37"",""125"",""172"",""203"",""204"",""215"",""225"",""260"",""287"",""305"",""339"",""355"",""404""]"
5,洋葱,core_raw,5,蔬菜,葱蒜,1,1,verified,719,核心原生食材,90,89.2,40,169,1.1,0.2,9.0,0.9,0,0.5,2,20,0,0.03,0.03,0.30,8.0,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14,洋葱（鲜）［葱头］,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""甚至外國人"",""男女老少"",""老人"",""老人儿童"",""老少兼宜"",""青少年""]",[],"[""/洋葱"",""/白洋葱"",""/紫洋葱"",""些许洋葱"",""几片洋葱"",""几颗葱头"",""圆葱"",""少量洋葱"",""洋葱"",""洋葱丁"",""洋葱丝"",""洋葱块"",""洋葱头"",""洋葱末"",""洋葱碎"",""白洋葱"",""红洋葱"",""葱头"",""葱碎"",""黄洋葱""]",[],[]
6,胡萝卜,core_raw,6,蔬菜,根茎,1,1,verified,971,核心原生食材,96,89.2,39,162,1.0,0.2,8.8,1.1,0,0.8,344,4130,0,0.04,0.03,0.60,13.0,0.41,32,27,190,71.4,14,1.0,0.23,0.63,0.08,0.24,胡萝卜（红）［金笋，丁香萝卜］,alias,core,v2_strict_rule,一般人都可食用。更适宜癌症、高血压、夜盲症、干眼症患者、营养不良、食欲不振者、皮肤粗糙者。,一般人都可食用。,"[""健脾宽中"",""养血"",""益气养血"",""益目"",""补肝""]","[""产妇"",""儿童"",""全部人群"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""甚至外國人"",""男女老少"",""老人"",""青少年""]",[],"[""/红萝卜"",""/胡萝卜"",""一些胡萝卜丁"",""一点胡萝卜"",""几片胡萝卜"",""少量胡萝卜"",""红萝卜"",""胡萝卜"",""胡萝卜丁"",""胡萝卜丝"",""胡萝卜片"",""胡萝卜碎""]",[],[]
7,鸡蛋,core_raw,7,蛋类,鸡蛋,1,1,verified,1390,核心原生食材,87,75.2,139,581,13.1,8.6,2.4,0.0,648,0.9,255,—,216,0.09,0.20,0.20,Tr,1.14,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,鸡蛋（代表值）,alias,core,v2_strict_rule,一般人均可食用适宜体质虚弱，营养不良，贫血及妇女产后病后调养；适宜婴幼儿发育期补养。,患高热、腹泻、肝炎、肾炎、胆囊炎、胆石症之人忌食；老年高血压、高血脂、冠心病人，宜少量食用鸡蛋，一般每日不超过1只，不宜多食，这样限量食用，既可补充优质蛋白质，又不影响血脂水平。,"[""增强正气"",""清洁肠胃"",""清热润燥"",""清热解毒"",""滋补"",""滋补肝肾"",""生津止渴"",""预防癌症""]","[""中老年人"",""产妇"",""儿童"",""全部人群"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""甚至外國人"",""男女老少"",""老人"",""老少兼宜"",""青少年""]","[""肝病患者"",""肾病患者"",""胆囊疾病患者"",""腹泻便溏者"",""感冒发热者"",""高血压患者"",""高血脂患者"",""冠心病患者""]","["".鸡蛋"",""/鸡蛋"",""/鸡蛋液"",""全蛋"",""土鸡蛋"",""柴鸡蛋"",""蛋液"",""鸡蛋"",""鸡蛋丝"",""鸡蛋液"",""－鸡蛋""]",[],[]
8,牛肉,core_raw,8,畜肉,牛,1,1,verified,339,核心原生食材,100,69.8,160,669,20.0,8.7,0.5,0.0,58,1.1,3,0,3,0.04,0.11,4.15,Tr,0.68,5,182,212,64.1,22,1.8,4.70,3.15,0.05,0.03,牛肉（代表值，fat9g）,alias,core,v2_strict_rule,,,"[""健脾养胃"",""安中益气"",""爽口开胃"",""补中益气滋养脾胃强健筋骨止渴"",""补肾壮阳""]","[""中年人"",""中老年人"",""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""小孩子"",""年轻人"",""甚至外國人"",""男女老少"",""老人"",""老年人""]",[],"[""克牛肉"",""牛肉"",""牛肉丝"",""牛肉末"",""牛肉末适量"",""牛肉沫"",""牛肉片"",""牛肉碎"",""牛肉糜"",""牛肉馅"",""鲜牛肉""]",[],"[""82"",""152"",""155"",""197"",""249"",""275"",""338"",""463"",""567""]"
9,香菜,core_raw,9,蔬菜,叶菜,1,1,verified,512,核心原生食材,81,90.5,33,139,1.8,0.4,6.2,1.2,0,1.1,97,1160,0,0.04,0.14,2.20,48.0,0.80,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28,香菜（鲜）［芫荽］,alias,core,v2_strict_rule,,,"[""健脾宽中"",""具有清热解毒"",""养生"",""开胃"",""开胃理气"",""暖胃\\补肾"",""消肿"",""清洁肠胃"",""清热润燥"",""生津止渴"",""瘦身"",""益气养血"",""美容""]","[""中老年人"",""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""老人"",""老少兼宜"",""青少年""]",[],"[""一小撮香菜"",""一点点香菜"",""些许香菜"",""几根香菜"",""多一点香菜"",""少量香菜"",""少量香菜末"",""数根香菜"",""芫茜"",""芫荽"",""香菜"",""香菜叶"",""香菜末"",""香菜段"",""香菜碎""]",[],[]
10,五花肉,core_raw,10,畜肉,猪,1,1,verified,479,核心原生食材,91,54.9,331,1370,15.1,30.1,0.0,0.0,86,0.8,15,0,15,0.30,0.13,4.10,Tr,0.67,6,121,218,56.8,16,1.3,1.78,7.90,0.12,0.03,猪肉（代表值，fat30g）,alias,core,v2_strict_rule,,,"[""头痛咳嗽"",""开胃"",""滋阴润燥"",""病后体虚"",""营养丰富"",""补肾养血""]","[""产妇"",""儿童"",""全部人群"",""婴儿"",""孕妇"",""小孩"",""老人"",""老少兼宜""]",[],"[""/一盒五花肉"",""一点五花肉"",""三层肉"",""五花肉"",""五花肉丁"",""五花肉末"",""五花肉片"",""几片五花肉"",""少半带皮五花肉"",""少量五花肉"",""带皮五花肉"",""猪五花"",""猪五花肉""]","[""4""]",[]
