old_id,old_name,usage_count,action,new_id,new_name,reason
1,葱,1056,KEEP,1,葱,符合基础原生食材定义
2,蒜,928,KEEP,2,蒜,符合基础原生食材定义
3,姜,827,KEEP,3,姜,符合基础原生食材定义
5,猪肉,564,KEEP,4,猪肉,符合基础原生食材定义
6,洋葱,540,KEEP,5,洋葱,符合基础原生食材定义
7,胡萝卜,538,KEEP,6,胡萝卜,符合基础原生食材定义
9,鸡蛋,440,KEEP,7,鸡蛋,符合基础原生食材定义
10,牛肉,406,KEEP,8,牛肉,符合基础原生食材定义
11,香菜,401,KEEP,9,香菜,符合基础原生食材定义
12,五花肉,399,KEEP,10,五花肉,符合基础原生食材定义
15,青椒,351,KEEP,11,青椒,符合基础原生食材定义
16,土豆,333,KEEP,12,土豆,符合基础原生食材定义
17,玉米,319,KEEP,13,玉米,符合基础原生食材定义
18,番茄,318,KEEP,14,番茄,符合基础原生食材定义
20,鸡胸肉,303,KEEP,15,鸡胸肉,符合基础原生食材定义
22,花生,299,KEEP,16,花生,符合基础原生食材定义
23,辣椒,290,KEEP,17,辣椒,符合基础原生食材定义
25,小米椒,266,KEEP,18,小米椒,符合基础原生食材定义
28,黄瓜,243,KEEP,19,黄瓜,符合基础原生食材定义
29,鸡腿肉,241,MERGE,589,鸡腿,明确别名或规范名统一
31,大米,239,KEEP,20,大米,符合基础原生食材定义
32,红枣,238,KEEP,21,红枣,符合基础原生食材定义
35,柠檬,220,KEEP,22,柠檬,符合基础原生食材定义
36,香菇,215,KEEP,23,香菇,符合基础原生食材定义
38,鸡肉,213,KEEP,24,鸡肉,符合基础原生食材定义
40,杏仁,200,KEEP,25,杏仁,符合基础原生食材定义
41,芝麻,199,KEEP,26,芝麻,符合基础原生食材定义
44,芹菜,194,KEEP,27,芹菜,符合基础原生食材定义
46,红薯,186,KEEP,28,红薯,符合基础原生食材定义
48,白菜,185,KEEP,29,白菜,符合基础原生食材定义
49,生菜,182,KEEP,31,生菜,符合基础原生食材定义
50,南瓜,182,KEEP,30,南瓜,符合基础原生食材定义
54,排骨,170,KEEP,32,排骨,符合基础原生食材定义
55,黑芝麻,169,KEEP,35,黑芝麻,符合基础原生食材定义
56,木耳,169,KEEP,33,木耳,符合基础原生食材定义
57,燕麦,169,KEEP,34,燕麦,符合基础原生食材定义
58,白芝麻,166,KEEP,36,白芝麻,符合基础原生食材定义
59,猪里脊,165,KEEP,37,猪里脊,符合基础原生食材定义
61,核桃,164,KEEP,38,核桃,符合基础原生食材定义
62,圣女果,163,KEEP,39,圣女果,符合基础原生食材定义
64,菠菜,162,KEEP,40,菠菜,符合基础原生食材定义
68,虾仁,155,KEEP,41,虾仁,符合基础原生食材定义
69,草莓,152,KEEP,43,草莓,符合基础原生食材定义
70,芒果,152,KEEP,42,芒果,符合基础原生食材定义
74,油菜,143,KEEP,44,油菜,符合基础原生食材定义
75,金针菇,140,KEEP,46,金针菇,符合基础原生食材定义
76,蔓越莓,140,KEEP,45,蔓越莓,符合基础原生食材定义
78,紫薯,139,KEEP,47,紫薯,符合基础原生食材定义
80,韭菜,137,KEEP,48,韭菜,符合基础原生食材定义
82,红椒,133,KEEP,49,红椒,符合基础原生食材定义
83,红辣椒,130,KEEP,50,红辣椒,符合基础原生食材定义
84,罗勒,128,KEEP,51,罗勒,符合基础原生食材定义
86,蛋清,127,KEEP,52,蛋清,符合基础原生食材定义
87,西兰花,126,KEEP,53,西兰花,符合基础原生食材定义
89,红豆,126,KEEP,54,红豆,符合基础原生食材定义
90,蓝莓,125,KEEP,55,蓝莓,符合基础原生食材定义
95,苹果,122,KEEP,56,苹果,符合基础原生食材定义
97,枸杞,118,KEEP,57,枸杞,符合基础原生食材定义
98,羊肉,118,KEEP,58,羊肉,符合基础原生食材定义
102,萝卜,116,KEEP,59,萝卜,符合基础原生食材定义
106,豌豆,110,KEEP,60,豌豆,符合基础原生食材定义
108,香蕉,109,KEEP,61,香蕉,符合基础原生食材定义
109,欧芹,108,KEEP,62,欧芹,符合基础原生食材定义
114,白萝卜,105,KEEP,63,白萝卜,符合基础原生食材定义
115,糯米,104,KEEP,64,糯米,符合基础原生食材定义
118,青豆,103,KEEP,65,青豆,符合基础原生食材定义
119,肥牛,103,KEEP,66,肥牛,符合基础原生食材定义
124,菠萝,97,KEEP,67,菠萝,符合基础原生食材定义
128,海带,96,KEEP,68,海带,符合基础原生食材定义
129,西葫芦,95,KEEP,69,西葫芦,符合基础原生食材定义
132,娃娃菜,93,KEEP,70,娃娃菜,符合基础原生食材定义
133,鸡翅,93,KEEP,71,鸡翅,符合基础原生食材定义
134,蛋黄,92,KEEP,72,蛋黄,符合基础原生食材定义
135,芋头,91,KEEP,73,芋头,符合基础原生食材定义
136,彩椒,89,KEEP,74,彩椒,符合基础原生食材定义
138,紫菜,89,KEEP,75,紫菜,符合基础原生食材定义
141,卷心菜,88,KEEP,76,卷心菜,符合基础原生食材定义
142,罗勒叶,88,MERGE,51,罗勒,明确别名或规范名统一
143,核桃仁,87,KEEP,77,核桃仁,符合基础原生食材定义
144,鱿鱼,87,KEEP,78,鱿鱼,符合基础原生食材定义
146,草鱼,86,KEEP,79,草鱼,符合基础原生食材定义
153,蒜苗,82,KEEP,80,蒜苗,符合基础原生食材定义
154,牛腩,82,KEEP,82,牛腩,符合基础原生食材定义
155,杏鲍菇,82,KEEP,83,杏鲍菇,符合基础原生食材定义
156,西芹,82,KEEP,81,西芹,符合基础原生食材定义
158,豆角,81,KEEP,84,豆角,符合基础原生食材定义
165,山药,79,KEEP,85,山药,符合基础原生食材定义
166,三文鱼,79,KEEP,86,三文鱼,符合基础原生食材定义
170,黄豆,76,KEEP,87,黄豆,符合基础原生食材定义
172,花蛤,75,KEEP,88,花蛤,符合基础原生食材定义
173,腰果,75,KEEP,89,腰果,符合基础原生食材定义
174,米辣,74,KEEP,91,米辣,符合基础原生食材定义
175,牛油果,74,KEEP,90,牛油果,符合基础原生食材定义
176,豆芽,73,KEEP,92,豆芽,符合基础原生食材定义
181,绿豆,71,KEEP,94,绿豆,符合基础原生食材定义
182,干香菇,71,KEEP,93,干香菇,符合基础原生食材定义
189,莲藕,69,KEEP,96,莲藕,符合基础原生食材定义
