ingredient_id,ingredient_name,tcm_not_user,extracted_groups_json,status
3,姜,阴虚内热及邪热亢盛者忌食。,"[""阴虚火旺者""]",structured
6,胡萝卜,一般人都可食用。,[],no_restriction_statement
7,鸡蛋,患高热、腹泻、肝炎、肾炎、胆囊炎、胆石症之人忌食；老年高血压、高血脂、冠心病人，宜少量食用鸡蛋，一般每日不超过1只，不宜多食，这样限量食用，既可补充优质蛋白质，又不影响血脂水平。,"[""肝病患者"",""肾病患者"",""胆囊疾病患者"",""腹泻便溏者"",""感冒发热者"",""高血压患者"",""高血脂患者"",""冠心病患者""]",structured
11,青椒,1.眼疾患者、食管炎、胃肠炎、胃溃疡、痔疮患者应少吃或忌食；2.同时有火热病症或阴虚火旺，高血压，肺结核病的人慎食。,"[""胃溃疡患者"",""胃肠炎患者"",""痔疮患者"",""眼疾患者"",""高血压患者"",""阴虚火旺者""]",structured
16,花生,花生含油脂多，消化时需要多耗胆汁，故胆病患者不宜食用；花生能增进血凝，促进血栓形成，故患血黏度高或有血栓的人不宜食用；体寒湿滞及肠滑便泄者不宜服食。,"[""胆囊疾病患者"",""高血脂患者"",""腹泻便溏者""]",structured
19,黄瓜,脾胃虚弱、腹痛腹泻、肺寒咳嗽者都应少吃，因黄瓜性凉，胃寒患者食之易致腹痛泄泻。,"[""脾胃虚寒者"",""腹泻便溏者"",""咳嗽患者""]",structured
22,柠檬,胃溃疡、胃酸分泌过多，患有龋齿者和糖尿病患者慎食。,"[""糖尿病患者"",""胃溃疡患者"",""胃酸过多人群"",""口腔疾病患者""]",structured
24,鸡肉,1.感冒发热、内火偏旺、痰湿偏重之人、肥胖症、患有热毒疖肿之人、高血压、血脂偏高、胆囊炎、胆石症的人忌食；2.鸡肉性温，助火，肝阳上亢及口腔糜烂、皮肤疖肿、大便秘结者不宜食用；3.动脉硬化、冠心病和高血脂患者忌饮鸡汤；感冒伴有头痛、乏力、发热的人忌食鸡肉，鸡汤。,"[""高血压患者"",""高血脂患者"",""胆囊疾病患者"",""感冒发热者"",""湿热痰湿体质者"",""肥胖人群"",""便秘者"",""皮肤病患者"",""口腔疾病患者"",""冠心病患者"",""动脉硬化患者""]",structured
26,芝麻,患有慢性肠炎、便溏腹泻者忌食；根据前人经验，男子阳痿、遗精者忌食。,"[""胃肠炎患者"",""腹泻便溏者""]",structured
27,芹菜,1.芹菜性凉质滑，脾胃虚寒、大便溏薄者不宜多食，芹菜有降血压作用，故血压偏低者慎用；2.计划生育的男性应注意适量少食。,"[""低血压人群"",""脾胃虚寒者"",""腹泻便溏者"",""备孕男性""]",structured
29,白菜,大白菜性偏寒凉，胃寒腹痛、大便溏泻及寒痢者不可多食。,"[""脾胃虚寒者"",""腹泻便溏者""]",structured
35,黑芝麻,患有慢性肠炎、便溏腹泻者忌食；根据前人经验，男子阳痿、遗精者忌食。,"[""胃肠炎患者"",""腹泻便溏者""]",structured
44,油菜,痧痘、孕早期妇女、目疾患者、小儿麻疹后期、疥疮、狐臭等慢性病患者要少食。,"[""孕妇"",""皮肤病患者"",""眼疾患者""]",structured
46,金针菇,脾胃虚寒者金针菇不宜吃得太多。,"[""脾胃虚寒者""]",structured
48,韭菜,多食会上火且不易消化，因此阴虚火旺、有眼病和胃肠虚弱的人不宜多食。,"[""消化功能不良者"",""阴虚火旺者""]",structured
56,苹果,肾炎和糖尿病患者不宜多吃。,"[""糖尿病患者"",""肾病患者""]",structured
63,白萝卜,萝卜性偏寒凉而利肠，脾虚泄泻者慎食或少食；时胃溃疡、十二指肠溃疡、慢性胃炎、单纯甲状腺肿、先兆流产、子宫脱垂等患者忌吃。,"[""腹泻便溏者"",""孕妇"",""胃溃疡患者"",""胃肠炎患者"",""甲状腺疾病患者""]",structured
64,糯米,凡湿热痰火偏盛之人忌食；发热、咳嗽痰黄、黄疸、腹胀之人忌食；糖尿病患者不食或少食；另外由于糯米极柔黏，难以消化，脾胃虚弱者不宜多食。,"[""湿热痰湿体质者"",""咳嗽患者"",""糖尿病患者""]",structured
65,青豆,一般人群均可食用。,[],no_restriction_statement
79,草鱼,一般人群均可食用,[],no_restriction_statement
83,杏鲍菇,一般人群均可食用。,[],no_restriction_statement
85,山药,山药有收涩的作用，故大便燥结者不宜食用；另外有实邪者忌食山药。,"[""便秘者""]",structured
