id,dish_name,ingredient_count,reason,ingredient_text
4,可可咖啡曲奇,8,没有可确定关联的基础原生食材,100g黄油，65g糖粉，100g常温淡奶油25℃左右(冬天需温热到45℃），120g低筋面粉，16g可可粉，4g速溶咖啡粉，50g玉米淀粉，10g杏仁粉，若干巧克力豆
12,小朋友超喜欢的巧克力奶香馒头（自发粉版）,4,没有可确定关联的基础原生食材,200克（雪健自发面粉）自发面粉，100克（巧克力牛奶）牛奶，8克白糖，5克（雀巢巧克力，可不加）炼乳
16,酸枣卷,5,没有可确定关联的基础原生食材,1斤酸枣，100克白糖，1/2勺盐，5勺辣椒粉，适量干紫苏叶
18,低糖版～椰奶千层马蹄糕,6,没有可确定关联的基础原生食材,250克马蹄粉，50克红片糖，50克冰片糖，700克水，400克椰浆，150克牛奶
29,低油版蝴蝶酥,1,没有可确定关联的基础原生食材,适量水
31,特香碌鹅-鼓油鹅-酱油鹅-隔壁邻居都知道煮鹅（家庭省油版）,2,没有可确定关联的基础原生食材,半只+上半边鹅，姜片、蒜头、陈皮、八角、香叶适量，酱油半碗、料酒半碗、清水半碗、冰糖、蚝油适量，花生油
40,记录自己的乱做全麦粉流沙包,4,没有可确定关联的基础原生食材,40全麦面粉，15克白糖，160克面粉，2克酵母
57,红薯布朗尼,4,没有可确定关联的基础原生食材,三个中等红薯，五大勺可可粉，五大勺全麦粉，少量蜂蜜
60,手冲咖啡~果丁丁,3,没有可确定关联的基础原生食材,16g咖啡豆，300g农夫山泉，我用的Brewista电子称，我用的Brewista温控手冲壶，我用的小富士磨豆机
67,和唐風--一頓飯團,4,没有可确定关联的基础原生食材,一小碗米飯，一片三文魚，一小勺魚籽，適量青菜
74,卤豆腐干（麻辣口味）,3,没有可确定关联的基础原生食材,白豆腐干，酱油，糖、盐，干辣椒，花椒、麻椒、大料、桂皮、草果，香叶、小茴香、肉蔻、白芷、丁香，葱、姜、大蒜
76,366 香蕉草莓奥利奥冰激凌,0,没有可确定关联的基础原生食材,冻香蕉2根   冻草莓50克   冻淡奶油60克   奥利奥饼干3块
84,桂花杏仁豆腐,3,没有可确定关联的基础原生食材,一罐杏仁露，两片吉利丁片，适量糖桂花
91,自制豆芽菜,2,没有可确定关联的基础原生食材,多少都可以绿豆，水
96,奶油霜转印,3,没有可确定关联的基础原生食材,一个蛋糕坯，3个裱花袋，1个裱花嘴
103,原创钳花包系列④灯笼包,6,没有可确定关联的基础原生食材,200克1.面粉，100克水，10克糖，2克酵母，少许油，少许2.豆沙
106,（烤箱版+平底锅版）梅干菜饼,4,没有可确定关联的基础原生食材,280克雪花面粉，170克热水，400克梅干菜肉燥，适量食用油
110,麻辣猪蹄,7,没有可确定关联的基础原生食材,麻椒猪蹄，香叶干辣椒，葱郫县豆瓣酱，蒜姜，冰糖蚝油，老抽生抽，八角
113,日式土豆色拉面包,7,没有可确定关联的基础原生食材,1000g风和制菓全粒粉，220g液体酵种，9g鲜酵母，20g食盐，830g水，土豆沙拉 适量（包馅用），橄榄油 适量（刷表面用）
119,无糖脱脂酸奶,7,没有可确定关联的基础原生食材,一个酸奶机，1克酸奶菌粉，110克脱脂奶粉，700ml左右40度左右温开水，10g乳清蛋白粉，一丢丢代糖，一副筷子
129,懒人滑菇嫩豆腐,6,没有可确定关联的基础原生食材,1块嫩豆腐，1盒秀珍菇，2勺生抽，适量盐，适量糖，半勺耗油（可不用）
136,故宫水晶大白菜饺子,4,没有可确定关联的基础原生食材,60克按照原方子，澄粉，15克玉米淀粉，85毫升开水，馅料随便自己喜欢
137,葱油拌面,4,没有可确定关联的基础原生食材,根据吃面人数选择葱的数量小葱，适量生抽，适量老抽，适量白糖
139,水煮豆腐,5,没有可确定关联的基础原生食材,北豆腐，萝卜苗，干辣椒，花椒，郫县豆瓣酱
140,奥利奥奶盖,3,没有可确定关联的基础原生食材,奥利奥牛奶，打泡器奶茶，糖粉
145,中餐厅4张亮之麻婆豆腐,1,没有可确定关联的基础原生食材,根据个人豆腐
146,翻糖包的做法详解,1,没有可确定关联的基础原生食材,克200糖粉
155,无黄油版零失败雪媚娘,8,没有可确定关联的基础原生食材,120克糯米粉，30克玉米淀粉，40克白糖，160克纯牛奶，20克玉米油，250g克淡奶油，五块奥利奥饼干，若干其他喜欢的水果
165,煎饺,4,没有可确定关联的基础原生食材,少量芝麻，6只速冻煎饺，少量油，少量水
171,巧克力味牛轧糖,5,没有可确定关联的基础原生食材,100克无盐黄油，300克棉花糖，100克巧克力酱，200克奶粉，300克熟花生米
182,宝宝藕粉果羹,5,没有可确定关联的基础原生食材,10克藕粉，80克沸水，20克凉白开，30克猕猴桃呢，30克红火红果
184,蜜汁豆干,6,没有可确定关联的基础原生食材,300g白豆干，适量植物油，没过食材水，2个八角（大料），15ml老抽，40g冰糖
186,自制黄豆/黑豆粉,1,没有可确定关联的基础原生食材,50g黄豆/黑豆
191,儿时的米粑粑,4,没有可确定关联的基础原生食材,200g大米粉，20g细砂糖，3g酵母，250g 温牛奶
195,色拉油版红豆酥,8,没有可确定关联的基础原生食材,油皮，160克中粉，50克玉米油，20克糖，80克水，油酥，180克低粉，80克玉米油，300克豆沙馅
199,自制好吃的奶酪棒,6,没有可确定关联的基础原生食材,2片（33g左右）奶酪片，100ml温开水，6勺婴幼儿配方奶粉，1.5片（7.5g）吉利丁片，少许白砂糖，一矿泉水瓶冰水
213,豆沙黄豆粉奶酪INS和风海浪烤土司,5,没有可确定关联的基础原生食材,1片2CM厚面包片，10g黄油，50g奶油奶酪，15mL熟黄豆粉，适量红豆沙
221,萝莉の糕糕,3,没有可确定关联的基础原生食材,一点技术，一点审美，一点耐心
222,桂花酒酿藕粉糊配汤圆,5,没有可确定关联的基础原生食材,适量酒酿，一袋藕粉，适量桂花蜜，随意汤圆，多一点煮汤圆的水
226,糯糯QQ的玉米面窝头,5,没有可确定关联的基础原生食材,71克玉米面，65克糯米粉，10克奶粉，75克牛奶，10克水
237,冰摇柚柚蜂蜜红茶,3,没有可确定关联的基础原生食材,适量（多一些）蜂蜜柚子酱，400ml红茶，适量冰块
242,布鲁姆面包,5,没有可确定关联的基础原生食材,250克高筋面粉，3克酵母，160克凉水，25g橄榄油，2g盐
243,粉蒸虾,4,没有可确定关联的基础原生食材,十几只海水虾，适量米粉，盐，料酒
247,暖宫祛寒姜汁,1,没有可确定关联的基础原生食材,云南生姜姜
253,椰子水冰摇咖啡,4,没有可确定关联的基础原生食材,一份浓缩咖啡，一杯冰块，180毫升椰子水，一只可密封梅森杯
255,青岛脂渣,2,没有可确定关联的基础原生食材,各一坨猪五花、带薄脂猪瘦肉，一小把五香粉，半锅清水
256,秒杀一切港式茶餐厅的麦香奶(laî)油猪(jū),3,没有可确定关联的基础原生食材,1只全麦餐包，你喜欢就好黄油，你喜欢就好炼乳
259,椰汁马蹄千层糕,6,没有可确定关联的基础原生食材,一盒马蹄粉，一罐椰浆，一盒牛奶，三碗水，两砖糖砖，75-90克白砂糖
272,小狗吐司披萨,5,没有可确定关联的基础原生食材,适量芝士碎，1片吐司，1勺披萨酱，适量鲑鱼碎，少量海苔
280,发面饼,3,没有可确定关联的基础原生食材,500克面粉，300克水，5克酵母
298,蒸馒头,3,没有可确定关联的基础原生食材,5克酵母，500克面粉，适量水
300,小白也会做的脆皮鸡,3,没有可确定关联的基础原生食材,1只鸡，抹匀一只鸡盐，个人来定黑胡椒
305,青菜豆腐汤,5,没有可确定关联的基础原生食材,吃多少放多少颗青菜，吃多少放多少块嫩豆腐，正常煮汤那么多克盐正，三四勺地瓜粉，适量酱油
306,纯牛奶版自制炼乳,2,没有可确定关联的基础原生食材,250克纯牛奶，50克白砂糖
315,台版~无糖冰酿绿茶,2,没有可确定关联的基础原生食材,2.5g茉香绿茶，250ml生饮水
323,奶酥曲奇,5,没有可确定关联的基础原生食材,安佳淡味黄油 80g，展艺糖粉         50g，新良低筋面粉100g，玉米淀粉         20g，纯牛奶             20g
330,抹茶冰冰包,10,没有可确定关联的基础原生食材,245克金像吐司粉，172克清水，5克抹茶粉，15克奶粉，40克细砂糖，30克 全蛋液，20克淡奶油，2.5克燕子酵母粉，3克盐，30克黄油
334,手工擀面条（新手必备）,4,没有可确定关联的基础原生食材,300克普通面粉，140克水，4克盐，适量淀粉
338,减肥餐,1,没有可确定关联的基础原生食材,鸡胸肉+牛肉+虾子
351,中式花生糖,4,没有可确定关联的基础原生食材,250g熟花生，190g细砂糖，15g香草糖，25g海藻糖
362,大阪烧,1,没有可确定关联的基础原生食材,见步骤一
370,乌鸡山药汤,0,没有可确定关联的基础原生食材,用量：半只食材：乌鸡，用量：200g食材：山药，用量：5g配料：枸杞，用量：5g配料：生姜
371,🌸紫薯小雏菊馒头🌸,7,没有可确定关联的基础原生食材,白色面团，150克中粉，8克砂糖，1.5克酵母粉，70克水，紫薯面团，150克中粉，8克砂糖，1.5克酵母粉，10克紫薯粉，70克水
382,椰香饼干,5,没有可确定关联的基础原生食材,20g椰浆粉，160g低粉，110g黄油，35g白砂糖，调味勺一小勺食盐
384,玫瑰馒头—有玫瑰花瓣的馒头,5,没有可确定关联的基础原生食材,3克酵母，300克面粉，150克水，适量白砂糖，适量玫瑰花
391,螺蛳粉泡牛奶吃法,2,没有可确定关联的基础原生食材,1袋牛奶，1盒食人族螺蛳粉
392,无油米糊椰丝燕麦饼干,4,没有可确定关联的基础原生食材,120克即食燕麦，50克米糊，30克糖，30克甜椰丝
395,朗姆酒醉鸡翅尖,3,没有可确定关联的基础原生食材,翅尖，黄酒，朗姆酒，盐，糖
416,素三鲜锅巴,5,没有可确定关联的基础原生食材,少量口蘑 黄瓜，一根火腿肠，适量锅巴，少量炝锅 蒜姜丝，出锅用的 葱花 白胡椒
424,皮卡丘饼夹,8,没有可确定关联的基础原生食材,材料1，330克中筋面粉，2克（冬天可以多加1克）耐高糖酵母，15克糖，30克水，160克南瓜泥，材料2，100克中筋面粉，48克水，0.6克耐高糖酵母，5克糖，3克可可粉，少许红曲粉
425,怡s【蛋黄酥】手抓饼的神仙吃法11,0,没有可确定关联的基础原生食材,手抓饼1张、咸蛋黄6个、红豆沙150g、蛋黄1个、黑芝麻适量、面粉少许
434,顺徳油条 酒店式,3,没有可确定关联的基础原生食材,斤普通面粉15，两酵母1，两盐4，斤植物油1.8
444,极简烧仙草,3,没有可确定关联的基础原生食材,50克烧仙草粉，300克热水，5~15克白砂糖糖
457,伴你午后阳光下---『杏仁枫糖玛德琳娜蛋糕』,7,没有可确定关联的基础原生食材,39g低筋面粉，19g杏仁粉，2g泡打粉，30g细砂糖，1枚鸡蛋，14g枫糖浆，50g黄油
460,自制原味酸奶-此方用的里海菌,5,没有可确定关联的基础原生食材,1000克全脂牛奶，100克淡奶油，50克炼乳，视自己所用菌粉量菌粉，100克（和牛奶的比例是1:10）如用里海酸奶引子
471,【健康煮食】豆漿米飯,2,没有可确定关联的基础原生食材,1/4cup白米／糙米，蓋過米飯現磨無糖豆漿，一小撮或不加鹽
473,雪白de白油,2,没有可确定关联的基础原生食材,两斤猪板肉，100毫升水
477,『超超超超超柔软』熊头吐司——可可红茶风味～,10,没有可确定关联的基础原生食材,【白色主面团】，150克高筋粉，10克奶粉，15克砂糖，1克盐，2克耐高糖酵母，110克（适量调整）冰水，10克黄油，【可可红茶面团】，1个红茶包，110克高筋粉，10克奶粉，15克砂糖，1克盐，2克耐高糖酵母，3克可可粉，10克黄油，200ml沸水
481,金沙蛋黄玉米粒,4,没有可确定关联的基础原生食材,200克甜玉米粒，适量味好美咸蛋黄调料，适量淀粉，适量油
491,好吃劲道的桃干儿，没有任何添加剂,3,没有可确定关联的基础原生食材,20个（大概3kg）鲜桃，100克冰糖或白糖，适量水
492,无敌好吃的白胖子雪媚娘,12,没有可确定关联的基础原生食材,雪媚娘皮材料:，150克水磨糯米粉（三象），45克玉米淀粉（栗粉），250-300毫升皆可全脂牛奶，75克白糖，30克无盐黄油，雪媚娘内馅儿材料:，500克淡奶油，40-50克白糖，适量奥利奥碎（选做），适量芒果丁（选做），适量草莓丁（选做），适量火龙果丁（选做），适量香芋馅儿（选做），20克炒熟的糯米粉（防粘手粉）
497,培根芝士玉米披萨,7,没有可确定关联的基础原生食材,5-8片培根，10克玉米粒，克高筋面粉150，2克酵母，克温水（不用温水，）80，普通食用油就OK8克黄油，马克里苏芝士碎100克片芝士，芝士披萨卷边芝士条2根
515,红烧鲤鱼,6,没有可确定关联的基础原生食材,比平常炒菜多一倍花生油，葱切段，姜切片，适量葱、姜、蒜、干辣椒，适量白糖，适量老抽，适量盐，适量醋
521,生日蛋糕,3,没有可确定关联的基础原生食材,一个戚风蛋糕，200淡奶油，各种水果
533,黑凉粉,3,没有可确定关联的基础原生食材,适量（我一个人吃用了3分之一哦）凉粉，500ml水，适量(最后吃的时候放)白糖
536,卡匹洛斯卡 Caiprosca,3,没有可确定关联的基础原生食材,30~45毫升伏特加，1/2~1个鲜酸橙，1~2茶匙砂糖（糖浆）
538,自制咸蛋,7,没有可确定关联的基础原生食材,青皮鸭蛋32个，盐小半包，60度高度白酒，保鲜膜，无油无水玻璃容器一个，碟子一个，喷壶一个，没有喷壶可以用碟子装酒
550,芝麻流沙包(面包机发酵),5,没有可确定关联的基础原生食材,200g中筋粉，100g温水，3g酵母，40g撒手粉(中筋粉)，4小勺糖，1:1芝麻酱+糖
564,黑胡椒牛肉干（面包机版）,1,没有可确定关联的基础原生食材,牛肉:500克，黑胡椒酱:85克，味极鲜酱油:10克，料酒:20克，绵白糖:10克，纯净水:200克，熟花生油:15ml，葱段、姜片少许，八角一颗，花椒数粒，桂皮一块
576,凉拌金针木耳,5,没有可确定关联的基础原生食材,木耳金针菇，葱花蒜头，芥末青、红辣椒，盐油，醋糖，鸡精生抽
579,香酥葱油饼,5,没有可确定关联的基础原生食材,随意面粉，2勺盐，少许温水，小半勺十三香，小半碗油
580,红枣玉米发糕,4,没有可确定关联的基础原生食材,100克玉米面，100克普通面粉，2勺糖，2克酵母
586,糯米党爱吃的糖油粑粑,4,没有可确定关联的基础原生食材,克水，克油，克糯米粉，白糖
587,香脆麦片酸奶随心杯,3,没有可确定关联的基础原生食材,酸奶，蔓越莓干，香脆型水果燕麦
590,糖火烧,3,没有可确定关联的基础原生食材,适量生芝麻，适量自发粉，适量红糖
598,八个月宝宝辅食（西兰花猪肝面）,3,没有可确定关联的基础原生食材,适量猪肝泥，适量西兰花泥，一两面条
603,味噌牛肉汤面,5,没有可确定关联的基础原生食材,熟牛肉，赤味噌，面条，昆布汤，白味噌
604,奥尔良烤翅 烤鸡腿,3,没有可确定关联的基础原生食材,60克奥尔良腌料，1勺蜂蜜，鸡腿或者鸡翅
605,鸳鸯火锅🍲（内附火锅小贴士）,3,没有可确定关联的基础原生食材,3/4包海底捞牛油火锅底料，1整包海底捞番茄火锅底料，爱整多少搞多少自己想吃的菜
